rating_numerator,timestamp
13,2017-08-01 16:23:56
13,2017-08-01 00:17:27
12,2017-07-31 00:18:03
13,2017-07-30 15:58:51
12,2017-07-29 16:00:24
13,2017-07-29 00:08:17
13,2017-07-28 16:27:12
13,2017-07-28 00:22:40
13,2017-07-27 16:25:51
14,2017-07-26 15:59:51
13,2017-07-26 00:31:25
13,2017-07-25 16:11:53
13,2017-07-25 01:55:32
12,2017-07-25 00:10:02
13,2017-07-24 17:02:04
13,2017-07-24 00:19:32
12,2017-07-23 00:22:39
13,2017-07-22 16:56:37
13,2017-07-22 00:23:06
12,2017-07-20 16:49:33
13,2017-07-19 16:06:48
14,2017-07-19 03:39:09
13,2017-07-19 00:47:34
13,2017-07-18 16:08:03
12,2017-07-18 00:07:08
13,2017-07-17 16:17:36
13,2017-07-16 23:58:41
13,2017-07-16 20:14:00
12,2017-07-15 23:25:31
13,2017-07-15 16:17:19
12,2017-07-14 22:10:11
13,2017-07-13 15:58:47
13,2017-07-12 16:03:00
12,2017-07-12 00:01:00
13,2017-07-11 20:47:12
13,2017-07-11 00:00:02
14,2017-07-10 15:58:53
12,2017-07-09 21:29:42
12,2017-07-09 00:00:04
5,2017-07-08 00:28:19
13,2017-07-07 16:22:55
13,2017-07-07 00:17:54
13,2017-07-06 15:58:11
12,2017-07-06 00:46:41
13,2017-07-05 15:48:34
13,2017-07-04 16:01:23
13,2017-07-04 01:18:17
12,2017-07-03 16:04:48
13,2017-07-03 00:11:11
14,2017-07-02 15:32:16
12,2017-07-01 21:49:04
13,2017-06-30 23:47:07
12,2017-06-30 19:35:32
12,2017-06-29 16:39:47
12,2017-06-29 00:27:25
11,2017-06-28 16:09:20
13,2017-06-28 00:42:13
12,2017-06-27 00:10:17
13,2017-06-26 19:07:24
12,2017-06-26 16:31:08
11,2017-06-25 18:56:45
13,2017-06-25 16:07:47
13,2017-06-25 00:45:22
13,2017-06-23 16:00:04
14,2017-06-23 01:10:23
13,2017-06-22 03:54:17
12,2017-06-21 15:58:08
13,2017-06-21 00:06:44
12,2017-06-20 16:29:50
12,2017-06-19 16:24:33
13,2017-06-18 16:57:37
13,2017-06-17 16:52:05
13,2017-06-16 16:11:53
13,2017-06-15 00:13:52
